beta,alpha,tvd
0.1,0.03847326291702863,0.03461147525222696
0.1,0.04123462221165296,0.03461147525222696
0.1,0.04419417382415922,0.03461147525222696
0.1,0.04736614270344993,0.03461147525222696
0.1,0.050765774772264724,0.03461147525222696
0.1,0.05440941020600775,0.03461147525222696
0.1,0.05831456197105048,0.03461147525222696
0.1,0.0625,0.03461147525222696
0.1,0.06698584140851832,0.03461147525222696
0.1,0.0717936471873147,0.03461147525222696
0.1,0.07694652583405726,0.03461147525222696
0.1,0.08246924442330589,0.03461147525222696
0.1,0.08838834764831845,0.03461147525222696
0.1,0.09473228540689989,0.03461147525222696
0.1,0.10153154954452945,0.03461147525222696
0.1,0.1088188204120155,0.03461147525222696
0.1,0.11662912394210093,0.03461147525222696
0.1,0.125,0.03461147525222696
0.1,0.13397168281703664,0.03461147525222696
0.1,0.1435872943746294,0.03461147525222696
0.1,0.1538930516681145,0.03461147525222696
0.1,0.16493848884661177,0.03461147525222696
0.1,0.1767766952966369,0.03461147525222696
0.1,0.18946457081379978,0.03461147525222696
0.1,0.2030630990890589,0.03461147525222696
0.1,0.217637640824031,0.03461147525222696
0.1,0.23325824788420185,0.03461147525222696
0.1,0.25,0.03461147525222696
1.0,2.3283064365386963e-10,8.007176535125805e-8
1.0,2.495417051334619e-10,8.91503921371867e-8
1.0,2.6745217735810076e-10,9.736603824405979e-8
1.0,2.8664814618996274e-10,1.1135796855515757e-7
1.0,3.072218761716254e-10,1.2376367328098648e-7
1.0,3.2927225399135965e-10,1.3164948952798188e-7
1.0,3.529052637774496e-10,1.5404061300646495e-7
1.0,3.782344965060405e-10,1.6431566127836575e-7
1.0,4.053816959709509e-10,1.7883209955226332e-7
1.0,4.344773439396203e-10,1.999209319016168e-7
1.0,4.656612873077393e-10,2.1374065619776722e-7
1.0,4.990834102669238e-10,2.322954736932095e-7
1.0,5.349043547162015e-10,2.7747198000286116e-7
1.0,5.732962923799255e-10,2.990032247356217e-7
1.0,6.144437523432508e-10,3.1935356014197877e-7
1.0,6.585445079827193e-10,3.428278469211135e-7
1.0,7.058105275548992e-10,3.9113947175564157e-7
1.0,7.56468993012081e-10,4.2288037991965065e-7
1.0,8.107633919419018e-10,4.364699047861339e-7
1.0,8.689546878792406e-10,4.766631144963188e-7
1.0,9.313225746154785e-10,5.408267068940383e-7
1.0,9.981668205338477e-10,5.727827770966121e-7
1.0,1.069808709432403e-9,6.132124420919356e-7
1.0,1.146592584759851e-9,6.584812290593373e-7
1.0,1.2288875046865017e-9,6.956117401155958e-7
1.0,1.3170890159654386e-9,8.083269735731489e-7
1.0,1.4116210551097985e-9,8.601257617258041e-7
1.0,1.512937986024162e-9,9.122427158996019e-7
1.0,1.6215267838838037e-9,1.0154078436253325e-6
1.0,1.7379093757584813e-9,1.08376428038413e-6
1.0,1.862645149230957e-9,1.1479798158539066e-6
1.0,1.9963336410676953e-9,1.269505531404565e-6
1.0,2.139617418864806e-9,1.35029168037824e-6
1.0,2.293185169519702e-9,1.4423681707553538e-6
1.0,2.4577750093730034e-9,1.6469078015113488e-6
1.0,2.634178031930877e-9,1.7302615246975646e-6
1.0,2.823242110219597e-9,1.8338323530913577e-6
1.0,3.025875972048324e-9,2.0221806638678222e-6
1.0,3.2430535677676073e-9,2.1240946237279005e-6
1.0,3.4758187515169625e-9,2.291970450902316e-6
1.0,3.725290298461914e-9,2.530743711747914e-6
1.0,3.992667282135391e-9,2.6622786623973963e-6
1.0,4.279234837729612e-9,2.990623902854505e-6
1.0,4.586370339039404e-9,3.14112065799631e-6
1.0,4.915550018746007e-9,3.3282637321669554e-6
