beta,alpha,tvd
5.0,0.125,0.704501
5.0,0.13397168281703664,0.703822
5.0,0.1435872943746294,0.7051589999999999
5.0,0.1538930516681145,0.704636
5.0,0.16493848884661177,0.705557
5.0,0.1767766952966369,0.7048150000000001
5.0,0.18946457081379978,0.7045849999999999
5.0,0.2030630990890589,0.7036610000000001
5.0,0.217637640824031,0.704082
5.0,0.23325824788420185,0.703847
5.0,0.25,0.704238
40.0,2.3283064365386963e-10,0.0019149999999999966
40.0,2.495417051334619e-10,0.0023719999999999883
40.0,2.6745217735810076e-10,0.0019470000000000045
40.0,2.8664814618996274e-10,0.0017540000000000123
40.0,3.072218761716254e-10,0.0014120000000000094
